c1,c2,stim,isPlural
gad,about,gadabout,0
knock,about,knockabout,0
turn,about,turnabout,0
walk,about,walkabout,0
run,about,runabout,0
round,about,roundabout,0
roust,about,roustabout,0
lay,about,layabout,0
where,abouts,whereabouts,1
over,abundance,overabundance,0
head,ache,headache,0
belly,ache,bellyache,0
heart,ache,heartache,0
ear,ache,earache,0
back,ache,backache,0
stomach,ache,stomachache,0
tooth,ache,toothache,0
over,achiever,overachiever,0
under,achiever,underachiever,0
wise,acre,wiseacre,0
over,acting,overacting,0
play,acting,playacting,0
here,after,hereafter,0
over,age,overage,0
news,agent,newsagent,0
mid,air,midair,0
catch,all,catchall,0
carry,all,carryall,0
cover,all,coverall,0
hold,all,holdall,0
over,all,overall,0
sing,along,singalong,0
pine,apple,pineapple,0
yard,arm,yardarm,0
fire,arm,firearm,0
turn,around,turnaround,0
wrap,around,wraparound,0
pot,ash,potash,0
grand,aunt,grandaunt,0
break,away,breakaway,0
stow,away,stowaway,0
straight,away,straightaway,0
get,away,getaway,0
cast,away,castaway,0
throw,away,throwaway,0
tear,away,tearaway,0
take,away,takeaway,0
cut,away,cutaway,0
run,away,runaway,0
give,away,giveaway,0
hide,away,hideaway,0
walk,away,walkaway,0
brad,awl,bradawl,0
pole,axe,poleaxe,0
cry,baby,crybaby,0
razor,back,razorback,0
sling,back,slingback,0
throw,back,throwback,0
canvas,back,canvasback,0
paper,back,paperback,0
feed,back,feedback,0
hump,back,humpback,0
full,back,fullback,0
kick,back,kickback,0
flash,back,flashback,0
half,back,halfback,0
green,back,greenback,0
fat,back,fatback,0
buy,back,buyback,0
tie,back,tieback,0
hard,back,hardback,0
hunch,back,hunchback,0
quarter,back,quarterback,0
out,back,outback,0
fall,back,fallback,0
cut,back,cutback,0
roll,back,rollback,0
horse,back,horseback,0
draw,back,drawback,0
hatch,back,hatchback,0
call,back,callback,0
diamond,back,diamondback,0
piggy,back,piggyback,0
pay,back,payback,0
hog,back,hogback,0
play,back,playback,0
tail,back,tailback,0
set,back,setback,0
moss,back,mossback,0
pull,back,pullback,0
soft,back,softback,0
line,backer,linebacker,0
school,bag,schoolbag,0
bean,bag,beanbag,0
gas,bag,gasbag,0
feed,bag,feedbag,0
money,bag,moneybag,0
hand,bag,handbag,0
saddle,bag,saddlebag,0
carpet,bag,carpetbag,0
sand,bag,sandbag,0
flea,bag,fleabag,0
wind,bag,windbag,0
mail,bag,mailbag,0
post,bag,postbag,0
rag,bag,ragbag,0
nose,bag,nosebag,0
carpet,bagger,carpetbagger,0
white,bait,whitebait,0
clam,bake,clambake,0
hard,ball,hardball,0
butter,ball,butterball,0
goof,ball,goofball,0
base,ball,baseball,0
basket,ball,basketball,0
racquet,ball,racquetball,0
hand,ball,handball,0
eye,ball,eyeball,0
pin,ball,pinball,0
hair,ball,hairball,0
moth,ball,mothball,0
fire,ball,fireball,0
spit,ball,spitball,0
fast,ball,fastball,0
foot,ball,football,0
net,ball,netball,0
odd,ball,oddball,0
volley,ball,volleyball,0
puff,ball,puffball,0
meat,ball,meatball,0
paint,ball,paintball,0
cannon,ball,cannonball,0
high,ball,highball,0
screw,ball,screwball,0
track,ball,trackball,0
snow,ball,snowball,0
black,ball,blackball,0
soft,ball,softball,0
neck,band,neckband,0
waist,band,waistband,0
arm,band,armband,0
sweat,band,sweatband,0
head,band,headband,0
hat,band,hatband,0
wave,band,waveband,0
watch,band,watchband,0
wrist,band,wristband,0
whizz,bang,whizzbang,0
sand,bank,sandbank,0
river,bank,riverbank,0
snow,bank,snowbank,0
cross,bar,crossbar,0
sand,bar,sandbar,0
side,bar,sidebar,0
handle,bar,handlebar,0
crow,bar,crowbar,0
tan,bark,tanbark,0
hand,barrow,handbarrow,0
wheel,barrow,wheelbarrow,0
data,base,database,0
wheel,base,wheelbase,0
hand,basin,handbasin,0
wash,basin,washbasin,0
work,basket,workbasket,0
bread,basket,breadbasket,0
waste,basket,wastebasket,0
ding,bat,dingbat,0
brick,bat,brickbat,0
blood,bath,bloodbath,0
bird,bath,birdbath,0
sun,bather,sunbather,0
sick,bay,sickbay,0
horn,beam,hornbeam,0
sun,beam,sunbeam,0
moon,beam,moonbeam,0
cross,beam,crossbeam,0
soy,bean,soybean,0
bug,bear,bugbear,0
grey,beard,greybeard,0
gray,beard,graybeard,0
pall,bearer,pallbearer,0
tale,bearer,talebearer,0
torch,bearer,torchbearer,0
child,bearing,childbearing,0
down,beat,downbeat,0
heart,beat,heartbeat,0
drum,beat,drumbeat,0
dead,beat,deadbeat,0
egg,beater,eggbeater,0
sea,bed,seabed,0
day,bed,daybed,0
flat,bed,flatbed,0
sick,bed,sickbed,0
flower,bed,flowerbed,0
death,bed,deathbed,0
river,bed,riverbed,0
hot,bed,hotbed,0
seed,bed,seedbed,0
road,bed,roadbed,0
feather,bedding,featherbedding,0
honey,bee,honeybee,0
bumble,bee,bumblebee,0
cow,bell,cowbell,0
door,bell,doorbell,0
hare,bell,harebell,0
bar,bell,barbell,0
dumb,bell,dumbbell,0
blue,bell,bluebell,0
under,belly,underbelly,0
pot,belly,potbelly,0
green,belt,greenbelt,0
back,bench,backbench,0
work,bench,workbench,0
ice,berg,iceberg,0
bay,berry,bayberry,0
bar,berry,barberry,0
dew,berry,dewberry,0
elder,berry,elderberry,0
blue,berry,blueberry,0
straw,berry,strawberry,0
rasp,berry,raspberry,0
black,berry,blackberry,0
goose,berry,gooseberry,0
over,bid,overbid,0
motor,bike,motorbike,0
spoon,bill,spoonbill,0
hand,bill,handbill,0
way,bill,waybill,0
play,bill,playbill,0
duck,bill,duckbill,0
hill,billy,hillbilly,0
dust,bin,dustbin,0
book,binder,bookbinder,0
spell,binder,spellbinder,0
book,bindery,bookbindery,0
book,binding,bookbinding,0
sea,bird,seabird,0
blue,bird,bluebird,0
love,bird,lovebird,0
black,bird,blackbird,0
song,bird,songbird,0
cow,bird,cowbird,0
lady,bird,ladybird,0
jail,bird,jailbird,0
whirly,bird,whirlybird,0
cat,bird,catbird,0
jay,bird,jaybird,0
oven,bird,ovenbird,0
water,bird,waterbird,0
lyre,bird,lyrebird,0
dicky,bird,dickybird,0
snow,bird,snowbird,0
red,bird,redbird,0
mocking,bird,mockingbird,0
humming,bird,hummingbird,0
shore,bird,shorebird,0
child,birth,childbirth,0
still,birth,stillbirth,0
after,birth,afterbirth,0
snake,bite,snakebite,0
over,bite,overbite,0
frost,bite,frostbite,0
back,biter,backbiter,0
boot,black,bootblack,0
lamp,black,lampblack,0
gall,bladder,gallbladder,0
switch,blade,switchblade,0
roller,blading,rollerblading,0
sand,blast,sandblast,0
sand,blaster,sandblaster,0
trail,blazer,trailblazer,0
nose,bleed,nosebleed,0
horn,blende,hornblende,0
road,block,roadblock,0
sun,block,sunblock,0
life,blood,lifeblood,0
ink,blot,inkblot,0
death,blow,deathblow,0
glass,blower,glassblower,0
lap,board,lapboard,0
paste,board,pasteboard,0
floor,board,floorboard,0
shuffle,board,shuffleboard,0
cup,board,cupboard,0
paper,board,paperboard,0
score,board,scoreboard,0
spring,board,springboard,0
clap,board,clapboard,0
clapper,board,clapperboard,0
finger,board,fingerboard,0
side,board,sideboard,0
cheese,board,cheeseboard,0
bill,board,billboard,0
mold,board,moldboard,0
plaster,board,plasterboard,0
weather,board,weatherboard,0
buck,board,buckboard,0
sound,board,soundboard,0
chalk,board,chalkboard,0
tail,board,tailboard,0
black,board,blackboard,0
head,board,headboard,0
dart,board,dartboard,0
key,board,keyboard,0
drain,board,drainboard,0
switch,board,switchboard,0
snow,board,snowboard,0
skate,board,skateboard,0
chip,board,chipboard,0
hard,board,hardboard,0
dash,board,dashboard,0
sign,board,signboard,0
checker,board,checkerboard,0
sea,board,seaboard,0
card,board,cardboard,0
back,board,backboard,0
bread,board,breadboard,0
star,board,starboard,0
wall,board,wallboard,0
surf,board,surfboard,0
clip,board,clipboard,0
peg,board,pegboard,0
base,board,baseboard,0
fiber,board,fiberboard,0
center,board,centerboard,0
wash,board,washboard,0
chess,board,chessboard,0
mortar,board,mortarboard,0
snow,boarder,snowboarder,0
skate,boarder,skateboarder,0
skate,boarding,skateboarding,0
surf,boarding,surfboarding,0
snow,boarding,snowboarding,0
weather,boarding,weatherboarding,0
flat,boat,flatboat,0
ferry,boat,ferryboat,0
gun,boat,gunboat,0
show,boat,showboat,0
speed,boat,speedboat,0
life,boat,lifeboat,0
cat,boat,catboat,0
whale,boat,whaleboat,0
motor,boat,motorboat,0
power,boat,powerboat,0
house,boat,houseboat,0
ice,boat,iceboat,0
sail,boat,sailboat,0
row,boat,rowboat,0
tug,boat,tugboat,0
tow,boat,towboat,0
steam,boat,steamboat,0
long,boat,longboat,0
ski,bob,skibob,0
home,body,homebody,0
dogs,body,dogsbody,0
some,body,somebody,0
busy,body,busybody,0
gum,boil,gumboil,0
pot,boiler,potboiler,0
dead,bolt,deadbolt,0
thunder,bolt,thunderbolt,0
fire,bomb,firebomb,0
whale,bone,whalebone,0
hip,bone,hipbone,0
back,bone,backbone,0
breast,bone,breastbone,0
collar,bone,collarbone,0
jaw,bone,jawbone,0
herring,bone,herringbone,0
shin,bone,shinbone,0
ankle,bone,anklebone,0
wish,bone,wishbone,0
cheek,bone,cheekbone,0
thigh,bone,thighbone,0
lazy,bones,lazybones,1
cross,bones,crossbones,1
saw,bones,sawbones,1
sun,bonnet,sunbonnet,0
blue,bonnet,bluebonnet,0
year,book,yearbook,0
cook,book,cookbook,0
prayer,book,prayerbook,0
bank,book,bankbook,0
text,book,textbook,0
pass,book,passbook,0
log,book,logbook,0
hand,book,handbook,0
guide,book,guidebook,0
check,book,checkbook,0
word,book,wordbook,0
hymn,book,hymnbook,0
song,book,songbook,0
story,book,storybook,0
stud,book,studbook,0
school,book,schoolbook,0
case,book,casebook,0
scrap,book,scrapbook,0
note,book,notebook,0
work,book,workbook,0
copy,book,copybook,0
match,book,matchbook,0
play,book,playbook,0
pocket,book,pocketbook,0
sketch,book,sketchbook,0
jack,boot,jackboot,0
toll,booth,tollbooth,0
first,born,firstborn,0
new,born,newborn,0
blue,bottle,bluebottle,0
long,bow,longbow,0
rain,bow,rainbow,0
cross,bow,crossbow,0
wash,bowl,washbowl,0
fish,bowl,fishbowl,0
juke,box,jukebox,0
band,box,bandbox,0
tool,box,toolbox,0
soap,box,soapbox,0
match,box,matchbox,0
paint,box,paintbox,0
horse,box,horsebox,0
hot,box,hotbox,0
post,box,postbox,0
tinder,box,tinderbox,0
sand,box,sandbox,0
mail,box,mailbox,0
hat,box,hatbox,0
ice,box,icebox,0
pill,box,pillbox,0
chatter,box,chatterbox,0
gear,box,gearbox,0
snuff,box,snuffbox,0
shoe,box,shoebox,0
strong,box,strongbox,0
fire,box,firebox,0
salt,box,saltbox,0
bread,box,breadbox,0
shadow,boxing,shadowboxing,0
bell,boy,bellboy,0
school,boy,schoolboy,0
page,boy,pageboy,0
home,boy,homeboy,0
news,boy,newsboy,0
cow,boy,cowboy,0
paper,boy,paperboy,0
play,boy,playboy,0
tall,boy,tallboy,0
low,boy,lowboy,0
high,boy,highboy,0
bus,boy,busboy,0
choir,boy,choirboy,0
tom,boy,tomboy,0
bird,brain,birdbrain,0
scatter,brain,scatterbrain,0
cane,brake,canebrake,0
fire,brand,firebrand,0
corn,bread,cornbread,0
sweet,bread,sweetbread,0
short,bread,shortbread,0
ginger,bread,gingerbread,0
bee,bread,beebread,0
sweet,breads,sweetbreads,1
hairs,breadth,hairsbreadth,0
fire,break,firebreak,0
jail,break,jailbreak,0
day,break,daybreak,0
heart,break,heartbreak,0
wind,break,windbreak,0
gaol,break,gaolbreak,0
strike,breaker,strikebreaker,0
ice,breaker,icebreaker,0
jaw,breaker,jawbreaker,0
law,breaker,lawbreaker,0
house,breaker,housebreaker,0
wind,breaker,windbreaker,0
tie,breaker,tiebreaker,0
house,breaking,housebreaking,0
strike,breaking,strikebreaking,0
ground,breaking,groundbreaking,0
red,breast,redbreast,0
pure,bred,purebred,0
thorough,bred,thoroughbred,0
cross,breed,crossbreed,0
cross,breeding,crossbreeding,0
fire,brick,firebrick,0
gold,brick,goldbrick,0
gold,bricking,goldbricking,0
foot,bridge,footbridge,0
weigh,bridge,weighbridge,0
draw,bridge,drawbridge,0
sweet,brier,sweetbrier,0
stock,broker,stockbroker,0
pawn,broker,pawnbroker,0
middle,brow,middlebrow,0
high,brow,highbrow,0
eye,brow,eyebrow,0
low,brow,lowbrow,0
tooth,brush,toothbrush,0
paint,brush,paintbrush,0
sage,brush,sagebrush,0
nail,brush,nailbrush,0
hair,brush,hairbrush,0
under,brush,underbrush,0
air,brush,airbrush,0
roe,buck,roebuck,0
saw,buck,sawbuck,0
turn,buckle,turnbuckle,0
swash,buckler,swashbuckler,0
swash,buckling,swashbuckling,0
rose,bud,rosebud,0
bed,bug,bedbug,0
fire,bug,firebug,0
lady,bug,ladybug,0
litter,bug,litterbug,0
mealy,bug,mealybug,0
doodle,bug,doodlebug,0
jitter,bug,jitterbug,0
shutter,bug,shutterbug,0
body,builder,bodybuilder,0
ship,builder,shipbuilder,0
body,building,bodybuilding,0
ship,building,shipbuilding,0
flash,bulb,flashbulb,0
over,burden,overburden,0
cheese,burger,cheeseburger,0
beef,burger,beefburger,0
heart,burn,heartburn,0
wind,burn,windburn,0
sun,burn,sunburn,0
after,burner,afterburner,0
cloud,burst,cloudburst,0
sun,burst,sunburst,0
trolley,bus,trolleybus,0
air,bus,airbus,0
rose,bush,rosebush,0
block,buster,blockbuster,0
bronco,buster,broncobuster,0
belly,button,bellybutton,0
good,bye,goodbye,0
taxi,cab,taxicab,0
bird,cage,birdcage,0
cheese,cake,cheesecake,0
hot,cake,hotcake,0
oat,cake,oatcake,0
griddle,cake,griddlecake,0
coffee,cake,coffeecake,0
johnny,cake,johnnycake,0
cup,cake,cupcake,0
pan,cake,pancake,0
fruit,cake,fruitcake,0
short,cake,shortcake,0
fried,cake,friedcake,0
tea,cake,teacake,0
beef,cake,beefcake,0
cat,call,catcall,0
oil,can,oilcan,0
ash,can,ashcan,0
sugar,cane,sugarcane,0
sky,cap,skycap,0
ice,cap,icecap,0
mad,cap,madcap,0
hub,cap,hubcap,0
night,cap,nightcap,0
knee,cap,kneecap,0
skull,cap,skullcap,0
toe,cap,toecap,0
fools,cap,foolscap,0
red,cap,redcap,0
white,cap,whitecap,0
lands,caper,landscaper,0
tram,car,tramcar,0
box,car,boxcar,0
motor,car,motorcar,0
hand,car,handcar,0
side,car,sidecar,0
flat,car,flatcar,0
street,car,streetcar,0
flash,card,flashcard,0
post,card,postcard,0
score,card,scorecard,0
after,care,aftercare,0
child,care,childcare,0
skin,care,skincare,0
hair,care,haircare,0
day,care,daycare,0
under,carriage,undercarriage,0
box,cars,boxcars,1
apple,cart,applecart,0
push,cart,pushcart,0
dust,cart,dustcart,0
hand,cart,handcart,0
dog,cart,dogcart,0
wood,carver,woodcarver,0
wood,carving,woodcarving,0
crank,case,crankcase,0
upper,case,uppercase,0
brief,case,briefcase,0
seed,case,seedcase,0
show,case,showcase,0
book,case,bookcase,0
suit,case,suitcase,0
pillow,case,pillowcase,0
lower,case,lowercase,0
nut,case,nutcase,0
stair,case,staircase,0
video,cassette,videocassette,0
down,cast,downcast,0
over,cast,overcast,0
sports,cast,sportscast,0
broad,cast,broadcast,0
news,cast,newscast,0
rough,cast,roughcast,0
broad,caster,broadcaster,0
sports,caster,sportscaster,0
news,caster,newscaster,0
broad,casting,broadcasting,0
over,casting,overcasting,0
tom,cat,tomcat,0
bob,cat,bobcat,0
wild,cat,wildcat,0
pole,cat,polecat,0
copy,cat,copycat,0
cow,catcher,cowcatcher,0
fly,catcher,flycatcher,0
salt,cellar,saltcellar,0
high,chair,highchair,0
push,chair,pushchair,0
arm,chair,armchair,0
wheel,chair,wheelchair,0
bed,chamber,bedchamber,0
plain,chant,plainchant,0
under,charge,undercharge,0
over,charge,overcharge,0
flow,chart,flowchart,0
steeple,chase,steeplechase,0
steeple,chaser,steeplechaser,0
chit,chat,chitchat,0
back,chat,backchat,0
wind,cheater,windcheater,0
cross,check,crosscheck,0
pay,check,paycheck,0
head,cheese,headcheese,0
choke,cherry,chokecherry,0
necker,chief,neckerchief,0
god,child,godchild,0
school,child,schoolchild,0
step,child,stepchild,0
grand,child,grandchild,0
brain,child,brainchild,0
wood,chuck,woodchuck,0
iron,clad,ironclad,0
quit,claim,quitclaim,0
thunder,clap,thunderclap,0
hand,clasp,handclasp,0
under,class,underclass,0
house,cleaning,housecleaning,0
sales,clerk,salesclerk,0
paper,clip,paperclip,0
hair,cloth,haircloth,0
table,cloth,tablecloth,0
back,cloth,backcloth,0
oil,cloth,oilcloth,0
sack,cloth,sackcloth,0
broad,cloth,broadcloth,0
dish,cloth,dishcloth,0
terry,cloth,terrycloth,0
cheese,cloth,cheesecloth,0
sail,cloth,sailcloth,0
wash,cloth,washcloth,0
loin,cloth,loincloth,0
under,clothes,underclothes,1
bed,clothes,bedclothes,1
night,clothes,nightclothes,1
under,clothing,underclothing,0
thunder,cloud,thundercloud,0
night,club,nightclub,0
slow,coach,slowcoach,0
stage,coach,stagecoach,0
sea,coast,seacoast,0
rain,coat,raincoat,0
waist,coat,waistcoat,0
red,coat,redcoat,0
under,coat,undercoat,0
turn,coat,turncoat,0
over,coat,overcoat,0
house,coat,housecoat,0
tail,coat,tailcoat,0
top,coat,topcoat,0
great,coat,greatcoat,0
corn,cob,corncob,0
molly,coddle,mollycoddle,0
post,code,postcode,0
water,color,watercolor,0
honey,comb,honeycomb,0
curry,comb,currycomb,0
beach,comber,beachcomber,0
new,comer,newcomer,0
late,comer,latecomer,0
short,coming,shortcoming,0
home,coming,homecoming,0
over,confidence,overconfidence,0
rip,cord,ripcord,0
whip,cord,whipcord,0
pepper,corn,peppercorn,0
barley,corn,barleycorn,0
pop,corn,popcorn,0
carry,cot,carrycot,0
dove,cote,dovecote,0
head,count,headcount,0
water,course,watercourse,0
race,course,racecourse,0
hard,cover,hardcover,0
slip,cover,slipcover,0
wise,crack,wisecrack,0
nut,cracker,nutcracker,0
fire,cracker,firecracker,0
needle,craft,needlecraft,0
wood,craft,woodcraft,0
hand,craft,handcraft,0
water,craft,watercraft,0
air,craft,aircraft,0
hover,craft,hovercraft,0
witch,craft,witchcraft,0
space,craft,spacecraft,0
state,craft,statecraft,0
stage,craft,stagecraft,0
corn,crake,corncrake,0
gate,crasher,gatecrasher,0
water,cress,watercress,0
air,crew,aircrew,0
share,cropper,sharecropper,0
scare,crow,scarecrow,0
bread,crumb,breadcrumb,0
hand,cuff,handcuff,0
egg,cup,eggcup,0
butter,cup,buttercup,0
tea,cup,teacup,0
tea,cupful,teacupful,0
under,current,undercurrent,0
pin,cushion,pincushion,0
wood,cut,woodcut,0
under,cut,undercut,0
hair,cut,haircut,0
cross,cut,crosscut,0
upper,cut,uppercut,0
short,cut,shortcut,0
wood,cutter,woodcutter,0
motor,cycle,motorcycle,0
motor,cycling,motorcycling,0
motor,cyclist,motorcyclist,0
craw,dad,crawdad,0
gran,dad,grandad,0
grand,dad,granddad,0
grand,daddy,granddaddy,0
coffer,dam,cofferdam,0
fire,damp,firedamp,0
grand,daughter,granddaughter,0
god,daughter,goddaughter,0
mid,day,midday,0
pay,day,payday,0
week,day,weekday,0
noon,day,noonday,0
dooms,day,doomsday,0
work,day,workday,0
wash,day,washday,0
birth,day,birthday,0
school,days,schooldays,1
news,dealer,newsdealer,0
quarter,deck,quarterdeck,0
kill,deer,killdeer,1
rein,deer,reindeer,0
dare,devil,daredevil,0
dare,devilry,daredevilry,0
honey,dew,honeydew,0
sun,dial,sundial,0
shin,dig,shindig,0
grave,digger,gravedigger,0
video,disc,videodisc,0
video,disk,videodisk,0
nose,dive,nosedive,0
sky,diver,skydiver,0
sky,diving,skydiving,0
bur,dock,burdock,0
evil,doer,evildoer,0
wrong,doer,wrongdoer,0
watch,dog,watchdog,0
sheep,dog,sheepdog,0
under,dog,underdog,0
bull,dog,bulldog,0
hot,dog,hotdog,0
lap,dog,lapdog,0
evil,doing,evildoing,0
wrong,doing,wrongdoing,0
back,door,backdoor,0
sour,dough,sourdough,0
turtle,dove,turtledove,0
melt,down,meltdown,0
touch,down,touchdown,0
count,down,countdown,0
knock,down,knockdown,0
crack,down,crackdown,0
clamp,down,clampdown,0
rub,down,rubdown,0
shut,down,shutdown,0
let,down,letdown,0
spell,down,spelldown,0
slow,down,slowdown,0
show,down,showdown,0
break,down,breakdown,0
run,down,rundown,0
come,down,comedown,0
splash,down,splashdown,0
eider,down,eiderdown,0
sun,down,sundown,0
shake,down,shakedown,0
thistle,down,thistledown,0
bull,dozer,bulldozer,0
over,draft,overdraft,0
down,draft,downdraft,0
snap,dragon,snapdragon,0
day,dream,daydream,0
day,dreamer,daydreamer,0
day,dreaming,daydreaming,0
sun,dress,sundress,0
night,dress,nightdress,0
head,dress,headdress,0
hair,dresser,hairdresser,0
hair,dressing,hairdressing,0
snow,drift,snowdrift,0
spin,drift,spindrift,0
man,drill,mandrill,0
over,drive,overdrive,0
cab,driver,cabdriver,0
screw,driver,screwdriver,0
air,drome,airdrome,0
back,drop,backdrop,0
dew,drop,dewdrop,0
gum,drop,gumdrop,0
snow,drop,snowdrop,0
rain,drop,raindrop,0
air,drop,airdrop,0
tear,drop,teardrop,0
eaves,dropper,eavesdropper,0
ear,drum,eardrum,0
kettle,drum,kettledrum,0
via,duct,viaduct,0
saw,dust,sawdust,0
star,dust,stardust,0
north,east,northeast,0
south,east,southeast,0
